,keyword,date,index
1,比特币,2017/7/3,54819
1,比特币,2017/7/4,52369
1,比特币,2017/7/5,53674
1,比特币,2017/7/6,50349
1,比特币,2017/7/7,35074
1,比特币,2017/7/8,35112
1,比特币,2017/7/9,29397
1,比特币,2017/7/10,59777
1,比特币,2017/7/11,123039
1,比特币,2017/7/12,75604
1,比特币,2017/7/13,109922
1,比特币,2017/7/14,91674
1,比特币,2017/7/15,74079
1,比特币,2017/7/16,89982
1,比特币,2017/7/17,74397
1,比特币,2017/7/18,66279
1,比特币,2017/7/19,51139
1,比特币,2017/7/20,54364
1,比特币,2017/7/21,106209
1,比特币,2017/7/22,64037
1,比特币,2017/7/23,60389
1,比特币,2017/7/24,53524
1,比特币,2017/7/25,56247
1,比特币,2017/7/26,64922
1,比特币,2017/7/27,47717
1,比特币,2017/7/28,44939
1,比特币,2017/7/29,28942
1,比特币,2017/7/30,31347
1,比特币,2017/7/31,43312
1,比特币,2017/8/1,132779
1,比特币,2017/8/2,147172
1,比特币,2017/8/3,132594
1,比特币,2017/8/4,82049
1,比特币,2017/8/5,119844
1,比特币,2017/8/6,76299
1,比特币,2017/8/7,70692
1,比特币,2017/8/8,60312
1,比特币,2017/8/9,62742
1,比特币,2017/8/10,70022
1,比特币,2017/8/11,35412
1,比特币,2017/8/12,45377
1,比特币,2017/8/13,57782
1,比特币,2017/8/14,78669
1,比特币,2017/8/15,74079
1,比特币,2017/8/16,89982
1,比特币,2017/8/17,61694
1,比特币,2017/8/18,80267
1,比特币,2017/8/19,66449
1,比特币,2017/8/20,45947
1,比特币,2017/8/21,93834
1,比特币,2017/8/22,91327
1,比特币,2017/8/23,106029
1,比特币,2017/8/24,74159
1,比特币,2017/8/25,55219
1,比特币,2017/8/26,55652
1,比特币,2017/8/27,65859
1,比特币,2017/8/28,113244
1,比特币,2017/8/29,71787
1,比特币,2017/8/30,345429
1,比特币,2017/8/31,88514
1,比特币,2017/9/1,62037
1,比特币,2017/9/2,128159
1,比特币,2017/9/3,100094
1,比特币,2017/9/4,172154
1,比特币,2017/9/5,293052
1,比特币,2017/9/6,368079
1,比特币,2017/9/7,174612
1,比特币,2017/9/8,146907
1,比特币,2017/9/9,332772
1,比特币,2017/9/10,323409
1,比特币,2017/9/11,248572
1,比特币,2017/9/12,183607
1,比特币,2017/9/13,183809
1,比特币,2017/9/14,276724
1,比特币,2017/9/15,617902
1,比特币,2017/9/16,556462
1,比特币,2017/9/17,299422
1,比特币,2017/9/18,215292
1,比特币,2017/9/19,241029
1,比特币,2017/9/20,234262
1,比特币,2017/9/21,223754
1,比特币,2017/9/22,159332
1,比特币,2017/9/23,108099
1,比特币,2017/9/24,132114
1,比特币,2017/9/25,131987
1,比特币,2017/9/26,99512
1,比特币,2017/9/27,171269
1,比特币,2017/9/28,208634
1,比特币,2017/9/29,201799
1,比特币,2017/9/30,81432
1,比特币,2017/10/1,220292
1,比特币,2017/10/2,159674
1,比特币,2017/10/3,112439
1,比特币,2017/10/4,178362
1,比特币,2017/10/5,161974
1,比特币,2017/10/6,85669
1,比特币,2017/10/7,76007
1,比特币,2017/10/8,47342
1,比特币,2017/10/9,66587
1,比特币,2017/10/10,470314
1,比特币,2017/10/11,123179
1,比特币,2017/10/12,133784
1,比特币,2017/10/13,155319
1,比特币,2017/10/14,112634
1,比特币,2017/10/15,61442
1,比特币,2017/10/16,88854
1,比特币,2017/10/17,105354
1,比特币,2017/10/18,114494
1,比特币,2017/10/19,70364
1,比特币,2017/10/20,49089
1,比特币,2017/10/21,93454
1,比特币,2017/10/22,2711833
1,比特币,2017/10/23,84594
1,比特币,2017/10/24,78322
1,比特币,2017/10/25,84204
1,比特币,2017/10/26,56674
1,比特币,2017/10/27,43704
1,比特币,2017/10/28,64879
1,比特币,2017/10/29,43594
1,比特币,2017/10/30,166082
1,比特币,2017/10/31,138142
1,比特币,2017/11/1,167144
1,比特币,2017/11/2,91534
1,比特币,2017/11/3,88779
1,比特币,2017/11/4,80934
1,比特币,2017/11/5,67829
1,比特币,2017/11/6,62934
1,比特币,2017/11/7,79392
1,比特币,2017/11/8,87512
1,比特币,2017/11/9,67474
1,比特币,2017/11/10,67729
1,比特币,2017/11/11,54734
1,比特币,2017/11/12,48534
1,比特币,2017/11/13,99187
1,比特币,2017/11/14,89212
1,比特币,2017/11/15,201167
1,比特币,2017/11/16,103607
1,比特币,2017/11/17,59352
1,比特币,2017/11/18,44157
1,比特币,2017/11/19,46009
1,比特币,2017/11/20,49119
1,比特币,2017/11/21,310804
1,比特币,2017/11/22,74909
1,比特币,2017/11/23,66239
1,比特币,2017/11/24,62914
1,比特币,2017/11/25,106539
1,比特币,2017/11/26,147842
1,比特币,2017/11/27,204542
1,比特币,2017/11/28,249827
1,比特币,2017/11/29,283692
1,比特币,2017/11/30,181754
1,比特币,2017/12/1,204387
1,比特币,2017/12/2,155259
1,比特币,2017/12/3,150002
1,比特币,2017/12/4,103302
1,比特币,2017/12/5,433174
1,比特币,2017/12/6,392264
1,比特币,2017/12/7,65362
1,比特币,2017/12/8,599482
1,比特币,2017/12/9,343342
1,比特币,2017/12/10,243734
1,比特币,2017/12/11,205112
1,比特币,2017/12/12,388652
1,比特币,2017/12/13,293552
1,比特币,2017/12/14,285819
1,比特币,2017/12/15,151937
1,比特币,2017/12/16,248959
1,比特币,2017/12/17,240614
1,比特币,2017/12/18,170204
1,比特币,2017/12/19,257364
1,比特币,2017/12/20,109259
1,比特币,2017/12/21,85492
1,比特币,2017/12/22,52319
1,比特币,2017/12/23,27089
1,比特币,2017/12/24,23197
1,比特币,2017/12/25,105459
1,比特币,2017/12/26,46127
1,比特币,2017/12/27,41104
1,比特币,2017/12/28,28409
1,比特币,2017/12/29,35719
1,比特币,2017/12/30,26742
1,比特币,2017/12/31,26087
1,比特币,2018/1/1,70502
1,比特币,2018/1/2,64414
1,比特币,2018/1/3,53172
1,比特币,2018/1/4,91489
1,比特币,2018/1/5,58317
1,比特币,2018/1/6,58909
1,比特币,2018/1/7,93882
1,比特币,2018/1/8,120202
1,比特币,2018/1/9,103414
1,比特币,2018/1/10,85017
1,比特币,2018/1/11,8322
1,比特币,2018/1/12,49767
1,比特币,2018/1/13,106929
1,比特币,2018/1/14,645459
1,比特币,2018/1/15,56197
1,比特币,2018/1/16,151067
1,比特币,2018/1/17,986712
1,比特币,2018/1/18,162044
1,比特币,2018/1/19,153652
1,比特币,2018/1/20,134032
1,比特币,2018/1/21,75929
1,比特币,2018/1/22,50614
1,比特币,2018/1/23,76469
1,比特币,2018/1/24,263542
1,比特币,2018/1/25,32959
1,比特币,2018/1/26,62257
1,比特币,2018/1/27,58212
1,比特币,2018/1/28,42824
1,比特币,2018/1/29,159862
1,比特币,2018/1/30,83022
1,比特币,2018/1/31,133222
1,比特币,2018/2/1,93177
1,比特币,2018/2/2,572992
1,比特币,2018/2/3,40014
1,比特币,2018/2/4,71894
1,比特币,2018/2/5,56724
1,比特币,2018/2/6,153127
1,比特币,2018/2/7,93129
1,比特币,2018/2/8,87819
1,比特币,2018/2/9,119329
1,比特币,2018/2/10,150537
1,比特币,2018/2/11,50867
1,比特币,2018/2/12,26769
1,比特币,2018/2/13,42947
1,比特币,2018/2/14,31244
1,比特币,2018/2/15,40169
1,比特币,2018/2/16,29502
1,比特币,2018/2/17,57664
1,比特币,2018/2/18,54857
1,比特币,2018/2/19,43949
1,比特币,2018/2/20,354207
1,比特币,2018/2/21,56294
1,比特币,2018/2/22,30562
1,比特币,2018/2/23,40867
1,比特币,2018/2/24,56719
1,比特币,2018/2/25,80032
1,比特币,2018/2/26,43752
1,比特币,2018/2/27,72877
1,比特币,2018/2/28,39849
1,比特币,2018/3/1,27357
1,比特币,2018/3/2,16894
1,比特币,2018/3/3,24574
1,比特币,2018/3/4,69442
1,比特币,2018/3/5,73799
1,比特币,2018/3/6,26537
1,比特币,2018/3/7,35534
1,比特币,2018/3/8,30639
1,比特币,2018/3/9,36989
1,比特币,2018/3/10,29184
1,比特币,2018/3/11,25884
1,比特币,2018/3/12,21632
1,比特币,2018/3/13,15697
1,比特币,2018/3/14,43942
1,比特币,2018/3/15,39999
1,比特币,2018/3/16,52204
1,比特币,2018/3/17,114412
1,比特币,2018/3/18,78787
1,比特币,2018/3/19,54822
1,比特币,2018/3/20,42809
1,比特币,2018/3/21,33534
1,比特币,2018/3/22,39027
1,比特币,2018/3/23,74289
1,比特币,2018/3/24,68054
1,比特币,2018/3/25,50344
1,比特币,2018/3/26,40834
1,比特币,2018/3/27,51497
1,比特币,2018/3/28,36274
1,比特币,2018/3/29,27312
1,比特币,2018/3/30,42612
1,比特币,2018/3/31,17004
1,比特币,2018/4/1,50227
1,比特币,2018/4/2,34577
1,比特币,2018/4/3,20484
1,比特币,2018/4/4,25027
1,比特币,2018/4/5,26354
1,比特币,2018/4/6,40599
1,比特币,2018/4/7,36497
1,比特币,2018/4/8,24032
1,比特币,2018/4/9,41352
1,比特币,2018/4/10,13694
1,比特币,2018/4/11,46159
1,比特币,2018/4/12,26024
1,比特币,2018/4/13,36927
1,比特币,2018/4/14,43147
1,比特币,2018/4/15,71052
1,比特币,2018/4/16,69739
1,比特币,2018/4/17,38249
1,比特币,2018/4/18,24259
1,比特币,2018/4/19,25229
1,比特币,2018/4/20,19467
1,比特币,2018/4/21,15574
1,比特币,2018/4/22,24694
1,比特币,2018/4/23,61912
1,比特币,2018/4/24,28917
1,比特币,2018/4/25,29844
1,比特币,2018/4/26,74012
1,比特币,2018/4/27,16004
1,比特币,2018/4/28,25777
1,比特币,2018/4/29,22334
1,比特币,2018/4/30,18382
1,比特币,2018/5/1,11674
1,比特币,2018/5/2,83184
1,比特币,2018/5/3,262719
1,比特币,2018/5/4,14837
1,比特币,2018/5/5,8737
1,比特币,2018/5/6,18587
1,比特币,2018/5/7,11999
1,比特币,2018/5/8,17487
1,比特币,2018/5/9,10817
1,比特币,2018/5/10,3924
1,比特币,2018/5/11,119197
1,比特币,2018/5/12,99952
1,比特币,2018/5/13,47262
1,比特币,2018/5/14,11967
1,比特币,2018/5/15,11784
1,比特币,2018/5/16,10394
1,比特币,2018/5/17,53209
1,比特币,2018/5/18,45357
1,比特币,2018/5/19,22677
1,比特币,2018/5/20,11552
1,比特币,2018/5/21,24794
1,比特币,2018/5/22,18677
1,比特币,2018/5/23,16369
1,比特币,2018/5/24,22364
1,比特币,2018/5/25,25994
1,比特币,2018/5/26,8679
1,比特币,2018/5/27,4197
1,比特币,2018/5/28,4879
1,比特币,2018/5/29,8657
1,比特币,2018/5/30,2822
1,比特币,2018/5/31,34319
1,比特币,2018/6/1,22689
1,比特币,2018/6/2,63822
1,比特币,2018/6/3,24464
1,比特币,2018/6/4,22654
1,比特币,2018/6/5,14454
1,比特币,2018/6/6,31537
1,比特币,2018/6/7,18892
1,比特币,2018/6/8,10304
1,比特币,2018/6/9,17272
1,比特币,2018/6/10,22497
1,比特币,2018/6/11,50064
1,比特币,2018/6/12,18002
1,比特币,2018/6/13,40707
1,比特币,2018/6/14,42744
1,比特币,2018/6/15,13867
1,比特币,2018/6/16,36564
1,比特币,2018/6/17,31757
1,比特币,2018/6/18,17044
1,比特币,2018/6/19,9119
1,比特币,2018/6/20,6422
1,比特币,2018/6/21,88567
1,比特币,2018/6/22,19367
1,比特币,2018/6/23,7754
1,比特币,2018/6/24,8654
1,比特币,2018/6/25,41942
1,比特币,2018/6/26,23732
1,比特币,2018/6/27,47229
1,比特币,2018/6/28,123074
1,比特币,2018/6/29,44254
1,比特币,2018/6/30,23507
1,比特币,2018/7/1,28497
1,比特币,2018/7/2,49917
1,比特币,2018/7/3,55932
1,比特币,2018/7/4,39289
1,比特币,2018/7/5,21274
1,比特币,2018/7/6,42914
1,比特币,2018/7/7,45647
1,比特币,2018/7/8,35404
1,比特币,2018/7/9,26682
1,比特币,2018/7/10,16482
1,比特币,2018/7/11,14444
1,比特币,2018/7/12,12062
1,比特币,2018/7/13,26379
1,比特币,2018/7/14,49539
1,比特币,2018/7/15,27047
1,比特币,2018/7/16,15149
1,比特币,2018/7/17,10934
1,比特币,2018/7/18,10884
1,比特币,2018/7/19,31399
1,比特币,2018/7/20,20377
1,比特币,2018/7/21,18842
1,比特币,2018/7/22,22389
1,比特币,2018/7/23,50692
1,比特币,2018/7/24,83532
1,比特币,2018/7/25,655285
1,比特币,2018/7/26,73084
1,比特币,2018/7/27,47114
1,比特币,2018/7/28,31854
1,比特币,2018/7/29,49969
1,比特币,2018/7/30,41857
1,比特币,2018/7/31,28729
1,比特币,2018/8/1,17502
1,比特币,2018/8/2,26397
1,比特币,2018/8/3,71987
1,比特币,2018/8/4,152054
1,比特币,2018/8/5,115709
1,比特币,2018/8/6,163264
1,比特币,2018/8/7,218269
1,比特币,2018/8/8,147619
1,比特币,2018/8/9,301554
1,比特币,2018/8/10,406715
1,比特币,2018/8/11,462189
1,比特币,2018/8/12,389815
1,比特币,2018/8/13,769342
1,比特币,2018/8/14,1450448
1,比特币,2018/8/15,1213945
1,比特币,2018/8/16,469411
1,比特币,2018/8/17,564146
1,比特币,2018/8/18,410925
1,比特币,2018/8/19,381618
1,比特币,2018/8/20,298211
1,比特币,2018/8/21,267046
1,比特币,2018/8/22,494098
1,比特币,2018/8/23,660010
