,keyword,date,index
1,比特币,2015-01-01,3
1,比特币,2015-01-02,4
1,比特币,2015-01-03,7
1,比特币,2015-01-04,18
1,比特币,2015-01-05,10
1,比特币,2015-01-06,18
1,比特币,2015-01-07,12
1,比特币,2015-01-08,5
1,比特币,2015-01-09,15
1,比特币,2015-01-10,3
1,比特币,2015-01-11,1
1,比特币,2015-01-12,5
1,比特币,2015-01-13,7
1,比特币,2015-01-14,12
1,比特币,2015-01-15,245
1,比特币,2015-01-16,117
1,比特币,2015-01-17,7
1,比特币,2015-01-18,4
1,比特币,2015-01-19,11
1,比特币,2015-01-20,15
1,比特币,2015-01-21,20
1,比特币,2015-01-22,14
1,比特币,2015-01-23,7
1,比特币,2015-01-24,5
1,比特币,2015-01-25,5
1,比特币,2015-01-26,137
1,比特币,2015-01-27,84
1,比特币,2015-01-28,11
1,比特币,2015-01-29,7
1,比特币,2015-01-30,7
1,比特币,2015-01-31,1
1,比特币,2015-02-01,0
1,比特币,2015-02-02,2
1,比特币,2015-02-03,7
1,比特币,2015-02-04,3
1,比特币,2015-02-05,6
1,比特币,2015-02-06,1
1,比特币,2015-02-07,1
1,比特币,2015-02-08,6
1,比特币,2015-02-09,176
1,比特币,2015-02-10,95
1,比特币,2015-02-11,11
1,比特币,2015-02-12,14
1,比特币,2015-02-13,8
1,比特币,2015-02-14,1
1,比特币,2015-02-15,3
1,比特币,2015-02-16,3
1,比特币,2015-02-17,2
1,比特币,2015-02-18,2
1,比特币,2015-02-19,4
1,比特币,2015-02-20,1
1,比特币,2015-02-21,1
1,比特币,2015-02-22,3
1,比特币,2015-02-23,3
1,比特币,2015-02-24,1
1,比特币,2015-02-25,7
1,比特币,2015-02-26,10
1,比特币,2015-02-27,3
1,比特币,2015-02-28,3
1,比特币,2015-03-01,3
1,比特币,2015-03-02,4
1,比特币,2015-03-03,6
1,比特币,2015-03-04,7
1,比特币,2015-03-05,4
1,比特币,2015-03-06,10
1,比特币,2015-03-07,3
1,比特币,2015-03-08,2
1,比特币,2015-03-09,8
1,比特币,2015-03-10,9
1,比特币,2015-03-11,16
1,比特币,2015-03-12,16
1,比特币,2015-03-13,124
1,比特币,2015-03-14,4
1,比特币,2015-03-15,5
1,比特币,2015-03-16,17
1,比特币,2015-03-17,8
1,比特币,2015-03-18,13
1,比特币,2015-03-19,9
1,比特币,2015-03-20,11
1,比特币,2015-03-21,0
1,比特币,2015-03-22,0
1,比特币,2015-03-23,0
1,比特币,2015-03-24,0
1,比特币,2015-03-25,0
1,比特币,2015-03-26,12
1,比特币,2015-03-27,12
1,比特币,2015-03-28,0
1,比特币,2015-03-29,0
1,比特币,2015-03-30,9
1,比特币,2015-03-31,8
1,比特币,2015-04-01,7
1,比特币,2015-04-02,9
1,比特币,2015-04-03,10
1,比特币,2015-04-04,2
1,比特币,2015-04-05,0
1,比特币,2015-04-06,2
1,比特币,2015-04-07,12
1,比特币,2015-04-08,15
1,比特币,2015-04-09,10
1,比特币,2015-04-10,4
1,比特币,2015-04-11,2
1,比特币,2015-04-12,0
1,比特币,2015-04-13,8
1,比特币,2015-04-14,12
1,比特币,2015-04-15,12
1,比特币,2015-04-16,7
1,比特币,2015-04-17,10
1,比特币,2015-04-18,2
1,比特币,2015-04-19,2
1,比特币,2015-04-20,6
1,比特币,2015-04-21,7
1,比特币,2015-04-22,7
1,比特币,2015-04-23,8
1,比特币,2015-04-24,8
1,比特币,2015-04-25,1
1,比特币,2015-04-26,2
1,比特币,2015-04-27,7
1,比特币,2015-04-28,5
1,比特币,2015-04-29,5
1,比特币,2015-04-30,7
1,比特币,2015-05-01,6
1,比特币,2015-05-02,3
1,比特币,2015-05-03,7
1,比特币,2015-05-04,163
1,比特币,2015-05-05,11
1,比特币,2015-05-06,16
1,比特币,2015-05-07,10
1,比特币,2015-05-08,9
1,比特币,2015-05-09,5
1,比特币,2015-05-10,2
1,比特币,2015-05-11,9
1,比特币,2015-05-12,12
1,比特币,2015-05-13,17
1,比特币,2015-05-14,12
1,比特币,2015-05-15,13
1,比特币,2015-05-16,2
1,比特币,2015-05-17,5
1,比特币,2015-05-18,6
1,比特币,2015-05-19,12
1,比特币,2015-05-20,12
1,比特币,2015-05-21,7
1,比特币,2015-05-22,8
1,比特币,2015-05-23,2
1,比特币,2015-05-24,4
1,比特币,2015-05-25,3
1,比特币,2015-05-26,4
1,比特币,2015-05-27,4
1,比特币,2015-05-28,5
1,比特币,2015-05-29,1
1,比特币,2015-05-30,3
1,比特币,2015-05-31,3
1,比特币,2015-06-01,4
1,比特币,2015-06-02,5
1,比特币,2015-06-03,5
1,比特币,2015-06-04,1
1,比特币,2015-06-05,7
1,比特币,2015-06-06,3
1,比特币,2015-06-07,4
1,比特币,2015-06-08,4
1,比特币,2015-06-09,3
1,比特币,2015-06-10,3
1,比特币,2015-06-11,4
1,比特币,2015-06-12,3
1,比特币,2015-06-13,2
1,比特币,2015-06-14,1
1,比特币,2015-06-15,4
1,比特币,2015-06-16,4
1,比特币,2015-06-17,6
1,比特币,2015-06-18,6
1,比特币,2015-06-19,6
1,比特币,2015-06-20,2
1,比特币,2015-06-21,0
1,比特币,2015-06-22,3
1,比特币,2015-06-23,3
1,比特币,2015-06-24,8
1,比特币,2015-06-25,10
1,比特币,2015-06-26,8
1,比特币,2015-06-27,3
1,比特币,2015-06-28,4
1,比特币,2015-06-29,9
1,比特币,2015-06-30,7
1,比特币,2015-07-01,8
1,比特币,2015-07-02,9
1,比特币,2015-07-03,12
1,比特币,2015-07-04,0
1,比特币,2015-07-05,3
1,比特币,2015-07-06,9
1,比特币,2015-07-07,11
1,比特币,2015-07-08,6
1,比特币,2015-07-09,7
1,比特币,2015-07-10,4
1,比特币,2015-07-11,0
1,比特币,2015-07-12,0
1,比特币,2015-07-13,4
1,比特币,2015-07-14,10
1,比特币,2015-07-15,9
1,比特币,2015-07-16,8
1,比特币,2015-07-17,10
1,比特币,2015-07-18,0
1,比特币,2015-07-19,0
1,比特币,2015-07-20,5
1,比特币,2015-07-21,0
1,比特币,2015-07-22,8
1,比特币,2015-07-23,0
1,比特币,2015-07-24,0
1,比特币,2015-07-25,0
1,比特币,2015-07-26,2
1,比特币,2015-07-27,8
1,比特币,2015-07-28,12
1,比特币,2015-07-29,10
1,比特币,2015-07-30,5
1,比特币,2015-07-31,9
1,比特币,2015-08-01,6
1,比特币,2015-08-02,18
1,比特币,2015-08-03,501
1,比特币,2015-08-04,104
1,比特币,2015-08-05,4
1,比特币,2015-08-06,11
1,比特币,2015-08-07,6
1,比特币,2015-08-08,2
1,比特币,2015-08-09,1
1,比特币,2015-08-10,3
1,比特币,2015-08-11,9
1,比特币,2015-08-12,5
1,比特币,2015-08-13,7
1,比特币,2015-08-14,5
1,比特币,2015-08-15,2
1,比特币,2015-08-16,2
1,比特币,2015-08-17,7
1,比特币,2015-08-18,5
1,比特币,2015-08-19,9
1,比特币,2015-08-20,9
1,比特币,2015-08-21,7
1,比特币,2015-08-22,0
1,比特币,2015-08-23,5
1,比特币,2015-08-24,8
1,比特币,2015-08-25,7
1,比特币,2015-08-26,0
1,比特币,2015-08-27,6
1,比特币,2015-08-28,6
1,比特币,2015-08-29,2
1,比特币,2015-08-30,0
1,比特币,2015-08-31,8
1,比特币,2015-09-01,13
1,比特币,2015-09-02,5
1,比特币,2015-09-03,0
1,比特币,2015-09-04,0
1,比特币,2015-09-05,2
1,比特币,2015-09-06,3
1,比特币,2015-09-07,8
1,比特币,2015-09-08,7
1,比特币,2015-09-09,4
1,比特币,2015-09-10,11
1,比特币,2015-09-11,10
1,比特币,2015-09-12,2
1,比特币,2015-09-13,5
1,比特币,2015-09-14,9
1,比特币,2015-09-15,9
1,比特币,2015-09-16,9
1,比特币,2015-09-17,12
1,比特币,2015-09-18,19
1,比特币,2015-09-19,11
1,比特币,2015-09-20,3
1,比特币,2015-09-21,229
1,比特币,2015-09-22,12
1,比特币,2015-09-23,10
1,比特币,2015-09-24,11
1,比特币,2015-09-25,10
1,比特币,2015-09-26,4
1,比特币,2015-09-27,2
1,比特币,2015-09-28,10
