,keyword,type,date,index
1,比特币,all,2015/1/1,5171
1,比特币,all,2015/1/2,5837
1,比特币,all,2015/1/3,8066
1,比特币,all,2015/1/4,11453
1,比特币,all,2015/1/5,9699
1,比特币,all,2015/1/6,7453
1,比特币,all,2015/1/7,7001
1,比特币,all,2015/1/8,5942
1,比特币,all,2015/1/9,6067
1,比特币,all,2015/1/10,5760
1,比特币,all,2015/1/11,5725
1,比特币,all,2015/1/12,7075
1,比特币,all,2015/1/13,8325
1,比特币,all,2015/1/14,14325
1,比特币,all,2015/1/15,12529
1,比特币,all,2015/1/16,8513
1,比特币,all,2015/1/17,7032
1,比特币,all,2015/1/18,7421
1,比特币,all,2015/1/19,9808
1,比特币,all,2015/1/20,8008
1,比特币,all,2015/1/21,7643
1,比特币,all,2015/1/22,8683
1,比特币,all,2015/1/23,6664
1,比特币,all,2015/1/24,6401
1,比特币,all,2015/1/25,7666
1,比特币,all,2015/1/26,10145
1,比特币,all,2015/1/27,9032
1,比特币,all,2015/1/28,7078
1,比特币,all,2015/1/29,7249
1,比特币,all,2015/1/30,6420
1,比特币,all,2015/1/31,5529
1,比特币,all,2015/2/1,5603
1,比特币,all,2015/2/2,6222
1,比特币,all,2015/2/3,6248
1,比特币,all,2015/2/4,6139
1,比特币,all,2015/2/5,5658
1,比特币,all,2015/2/6,5391
1,比特币,all,2015/2/7,4638
1,比特币,all,2015/2/8,7369
1,比特币,all,2015/2/9,7578
1,比特币,all,2015/2/10,6119
1,比特币,all,2015/2/11,5163
1,比特币,all,2015/2/12,4686
1,比特币,all,2015/2/13,5014
1,比特币,all,2015/2/14,4655
1,比特币,all,2015/2/15,5378
1,比特币,all,2015/2/16,5545
1,比特币,all,2015/2/17,4816
1,比特币,all,2015/2/18,3610
1,比特币,all,2015/2/19,4083
1,比特币,all,2015/2/20,4624
1,比特币,all,2015/2/21,4209
1,比特币,all,2015/2/22,4407
1,比特币,all,2015/2/23,4453
1,比特币,all,2015/2/24,4235
1,比特币,all,2015/2/25,4695
1,比特币,all,2015/2/26,5892
1,比特币,all,2015/2/27,7288
1,比特币,all,2015/2/28,6366
1,比特币,all,2015/3/1,5921
1,比特币,all,2015/3/2,6794
1,比特币,all,2015/3/3,6574
1,比特币,all,2015/3/4,7422
1,比特币,all,2015/3/5,6034
1,比特币,all,2015/3/6,5451
1,比特币,all,2015/3/7,5291
1,比特币,all,2015/3/8,5153
1,比特币,all,2015/3/9,6065
1,比特币,all,2015/3/10,7110
1,比特币,all,2015/3/11,6637
1,比特币,all,2015/3/12,7171
1,比特币,all,2015/3/13,6230
